a,Month,Quarter,Attainment (%),Quota,Total Attained,Direct Attainment,Channel Attainment,Deal Size,Number of Deals,Partner Interactions,Partner-Initiated Opportunities
2022,Jun,Q2,110%,345000.0,379500.0," $56,925 "," $322,575 "," $8,600 ",44,10,7.0
2022,Jul,Q3,110%,362250.0,398475.00000000006," $56,925 "," $322,575 "," $8,950 ",44,10,7.0
2022,Aug,Q3,110%,345000.0,379500.00000000006," $56,925 "," $322,575 "," $9,300 ",44,10,7.0
2022,Sep,Q3,125%,345000.0,431250.0," $64,688 "," $366,563 "," $9,800 ",44,12,8.5
2022,Oct,Q4,125%,362250.0,452812.5," $64,688 "," $366,563 "," $10,150 ",44,12,8.5
2022,Nov,Q4,125%,345000.0,431250.0," $64,688 "," $366,563 "," $10,500 ",44,12,8.5
2022,Dec,Q4,135%,345000.0,465750.00000000006," $69,863 "," $395,888 "," $11,000 ",42,14,10.0
2023,Jan,Q1,135%,362250.0,489037.50000000006," $69,863 "," $395,888 "," $11,350 ",42,14,10.0
2023,Feb,Q1,135%,345000.0,465750.00000000006," $69,863 "," $395,888 "," $11,700 ",42,14,10.0
2023,Mar,Q1,140%,345000.0,482999.99999999994," $72,450 "," $410,550 "," $12,200 ",39,16,11.5
2023,Apr,Q2,140%,362250.0,507149.99999999994," $72,450 "," $410,550 "," $12,550 ",39,16,11.5
2023,May,Q2,140%,345000.0,482999.99999999994," $72,450 "," $410,550 "," $12,900 ",39,16,11.5
2023,Jun,Q2,120%,345000.0,414000.0," $62,100 "," $351,900 "," $13,400 ",30,18,13.0
2023,Jul,Q3,120%,362250.0,434700.0," $62,100 "," $351,900 "," $13,750 ",30,18,13.0
2023,Aug,Q3,120%,345000.0,414000.0," $62,100 "," $351,900 "," $14,100 ",30,18,13.0
2023,Sep,Q3,130%,345000.0,448500.0," $67,275 "," $381,225 "," $14,600 ",30,20,14.5
2023,Oct,Q4,130%,362250.0,470925.0," $67,275 "," $381,225 "," $14,950 ",30,20,14.5
2023,Nov,Q4,130%,345000.0,448500.0," $67,275 "," $381,225 "," $15,300 ",30,20,14.5
2023,Dec,Q4,145%,345000.0,500250.0," $75,038 "," $425,213 "," $15,800 ",31,22,16.0
2024,Jan,Q1,145%,362250.0,525262.5," $75,038 "," $425,213 "," $16,150 ",31,22,16.0
2024,Feb,Q1,145%,345000.0,500250.0," $75,038 "," $425,213 "," $16,500 ",31,22,16.0
2024,Mar,Q1,150%,345000.0,517500.0," $77,625 "," $439,875 "," $17,000 ",30,24,17.5
2024,Apr,Q2,150%,362250.0,543375.0," $77,625 "," $439,875 "," $17,350 ",30,24,17.5
2024,May,Q2,150%,345000.0,517500.0," $77,625 "," $439,875 "," $17,700 ",30,24,17.5
