"Stage","Lead Source","ISI Sales Territory","Channel Partner","UC Platform(s)","Industry","Close Date","Close Month","Fiscal Period","Fiscal Year","Age","Amount"
"Closed Lost","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco; Microsoft Skype For Business; Avaya","Government","3/10/2020","3/1/2020","Q1-2020","2020","447.0000000000","53300.00"
"Closed Won","Customer Support","Gulf","Flair Data Systems","Cisco","Education","5/18/2022","5/1/2022","Q2-2022","2022","22.0000000000","4042.45"
"Closed Won","Customer Support","North Central","CDW Logistics, Inc.","Cisco","Transportation","9/22/2022","9/1/2022","Q3-2022","2022","149.0000000000","6720.00"
"Closed Lost","Channel Inbound","Gulf","Chickasaw Telecom, Inc.","Cisco; Cisco UCCX","Healthcare","5/11/2022","5/1/2022","Q2-2022","2022","700.0000000000","7981.60"
"Closed Lost","Customer Support","Gulf","","Cisco; Avaya","Finance","12/30/2022","12/1/2022","Q4-2022","2022","66.0000000000","10080.00"
"Closed Won","Events/Shows","Southeast","NWN Corporation","Cisco","Environmental","8/31/2018","8/1/2018","Q3-2018","2018","37.0000000000","42593.60"
"Closed Won","Customer Support","Gulf","Business Communications, Inc.","Cisco Webex Calling","Finance","2/7/2023","2/1/2023","Q1-2023","2023","29.0000000000","3430.00"
"Closed Lost","Customer Support","Northeast","","Cisco","Education","3/15/2023","3/1/2023","Q1-2023","2023","27.0000000000","1240.00"
"Closed Lost","Channel Inbound","","IT PRO CANADA","Cisco","Automotive","4/3/2023","4/1/2023","Q2-2023","2023","122.0000000000","4950.00"
"Closed Won","Marketing Campaign","Midwest","","Cisco; Cisco UCCX","Transportation","12/17/2020","12/1/2020","Q4-2020","2020","224.0000000000","6370.00"
"Closed Lost","Channel Inbound","Midwest","CDW Logistics, Inc.","Cisco","Healthcare","4/22/2021","4/1/2021","Q2-2021","2021","535.0000000000","106664.00"
"Closed Lost","Channel Inbound","North Central","","Cisco","Finance","5/12/2021","5/1/2021","Q2-2021","2021","92.0000000000","15124.14"
"Closed Lost","Customer Support","Northeast","","Cisco","Retail","2/15/2023","2/1/2023","Q1-2023","2023","21.0000000000","3053.75"
"Closed Won","Customer Support","North Central","","Cisco; Cisco UCCX","Healthcare","9/19/2022","9/1/2022","Q3-2022","2022","28.0000000000","2129.28"
"Closed Lost","Channel Inbound","Midwest","ConvergeOne, Inc.","Cisco","Healthcare","6/25/2021","6/1/2021","Q2-2021","2021","518.0000000000","7764.50"
"Closed Lost","Channel Inbound","North Central","Cambium Data Inc.","Cisco","Healthcare","8/28/2020","8/1/2020","Q3-2020","2020","189.0000000000","14703.00"
"Closed Lost","Channel Inbound","Midwest","CDW Logistics, Inc.","Cisco","Finance","12/17/2020","12/1/2020","Q4-2020","2020","331.0000000000","59185.80"
"Closed Lost","Channel Inbound","North Central","Sentinel Technologies, Inc.","Cisco UCCX","Finance","5/6/2021","5/1/2021","Q2-2021","2021","323.0000000000","16456.01"
"Closed Won","Customer Support","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Transportation","9/7/2022","9/1/2022","Q3-2022","2022","16.0000000000","5180.80"
"Closed Lost","Website","","","Cisco","","5/15/2019","5/1/2019","Q2-2019","2019","30.0000000000","4230.00"
"Closed Lost","Channel Inbound","North Central","Presidio Networked Solutions Group, LLC","Cisco","Manufacturing","9/4/2019","9/1/2019","Q3-2019","2019","232.0000000000","6413.00"
"Closed Lost","Channel Inbound","Southeast","CDW Logistics, Inc.","Cisco","Government","7/2/2020","7/1/2020","Q3-2020","2020","255.0000000000","6478.00"
"Closed Lost","Website","Northeast","","Cisco","Healthcare","9/4/2020","9/1/2020","Q3-2020","2020","21.0000000000","252000.00"
"Closed Lost","Channel Inbound","Gulf","AT&T Services, Inc.","Cisco","Transportation","4/7/2022","4/1/2022","Q2-2022","2022","146.0000000000","118000.00"
"Closed Won","Channel Inbound","North Central","Logicalis, Inc.","Cisco","Government","11/11/2020","11/1/2020","Q4-2020","2020","371.0000000000","3563.51"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco; Avaya","","2/15/2021","2/1/2021","Q1-2021","2021","689.0000000000","10301.19"
"Closed Lost","Website","West","Xceptional Networks","Cisco; Cisco UCCX","Entertainment","8/24/2020","8/1/2020","Q3-2020","2020","73.0000000000","8873.75"
"Closed Lost","Events/Shows","Northeast","","Cisco","Finance","4/13/2020","4/1/2020","Q2-2020","2020","160.0000000000","10945.00"
"Closed Lost","Direct Sales","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Utilities","5/18/2023","5/1/2023","Q2-2023","2023","485.0000000000","15122.52"
"Closed Lost","Channel Inbound","","Cache Valley Electric Company","Cisco","","7/1/2020","7/1/2020","Q3-2020","2020","188.0000000000","11708.00"
"Closed Lost","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Avaya","Transportation","1/12/2023","1/1/2023","Q1-2023","2023","870.0000000000","4404.36"
"Closed Lost","Channel Inbound","Southeast","CDW Logistics, Inc.","Cisco; Avaya","Healthcare","9/23/2020","9/1/2020","Q3-2020","2020","63.0000000000","5895.00"
"Closed Lost","Channel Inbound","","Axispoint Technology Solutions Group, Inc.","Cisco","","5/26/2020","5/1/2020","Q2-2020","2020","476.0000000000","26100.00"
"Closed Lost","Channel Inbound","Northeast","DISYS Solutions, Inc.","Cisco","Education","6/17/2020","6/1/2020","Q2-2020","2020","100.0000000000","10225.00"
"Closed Lost","Channel Inbound","North Central","Sentinel Technologies, Inc.","Cisco UCCX","Finance","4/22/2021","4/1/2021","Q2-2021","2021","309.0000000000","11640.00"
"Closed Lost","Channel Inbound","","Presidio Networked Solutions Group, LLC","Cisco","","6/17/2020","6/1/2020","Q2-2020","2020","155.0000000000","30900.00"
"Closed Lost","Channel Inbound","North Central","CompuNet Inc.","Cisco","Government","6/9/2020","6/1/2020","Q2-2020","2020","118.0000000000","5803.00"
"Closed Lost","Direct Sales","Northeast","","Cisco; Avaya; NEC","Healthcare","9/4/2020","9/1/2020","Q3-2020","2020","178.0000000000","370500.00"
"Closed Won","Channel Inbound","Northeast","Johnston Communications","Cisco","Education","8/28/2020","8/1/2020","Q3-2020","2020","171.0000000000","17472.00"
"Closed Won","Channel Inbound","West","Sentinel Technologies, Inc.","Cisco","Finance","9/23/2020","9/1/2020","Q3-2020","2020","176.0000000000","31772.00"
"Closed Lost","Channel Inbound","","CDW Logistics, Inc.","Cisco","","5/5/2020","5/1/2020","Q2-2020","2020","54.0000000000","14040.00"
"Closed Lost","Channel Inbound","","United Data Technologies, Inc.","Cisco","","1/27/2020","1/1/2020","Q1-2020","2020","378.0000000000","23040.00"
"Closed Lost","Customer Support","Gulf","CDW Logistics, Inc.","Cisco","Manufacturing","1/18/2023","1/1/2023","Q1-2023","2023","357.0000000000","1492.02"
"Closed Lost","Direct Sales","Gulf","","Avaya; Nortel","Manufacturing","9/13/2022","9/1/2022","Q3-2022","2022","55.0000000000","2796.00"
"Closed Lost","Channel Inbound","","Integrated Systems Consultants - ISC","Cisco","","6/17/2020","6/1/2020","Q2-2020","2020","147.0000000000","3384.00"
"Closed Lost","Website","North Central","CDW Logistics, Inc.","Cisco","Agriculture","8/6/2020","8/1/2020","Q3-2020","2020","134.0000000000","5766.00"
"Closed Won","Customer Support","Southeast","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Government","5/10/2022","5/1/2022","Q2-2022","2022","60.0000000000","171.00"
"Closed Lost","Customer Support","Southeast","NWN Corporation","Cisco","Government","1/16/2023","1/1/2023","Q1-2023","2023","179.0000000000","1731.51"
"Closed Won","Channel Inbound","Northeast","ConvergeOne, Inc.","Cisco","Retail","9/30/2020","9/1/2020","Q3-2020","2020","21.0000000000","7068.00"
"Closed Lost","Channel Inbound","West","Presidio Networked Solutions Group, LLC","Cisco","Healthcare","2/22/2023","2/1/2023","Q1-2023","2023","896.0000000000","19950.00"
"Closed Lost","Customer Support","Northeast","","Cisco","Finance","11/22/2022","11/1/2022","Q4-2022","2022","172.0000000000","5760.00"
"Closed Lost","Customer Support","Southeast","","Cisco; Microsoft Teams","Retail","4/11/2023","4/1/2023","Q2-2023","2023","312.0000000000","6836.76"
"Closed Won","Direct Sales","Southeast","","NEC","Government","9/16/2022","9/1/2022","Q3-2022","2022","23.0000000000","1500.00"
"Closed Lost","Channel Inbound","West","Intervision","Cisco","Government","12/22/2020","12/1/2020","Q4-2020","2020","228.0000000000","4544.00"
"Closed Lost","Customer Support","Midwest","Intervision","Cisco; Cisco UCCX","Consulting","10/4/2022","10/1/2022","Q4-2022","2022","74.0000000000","4320.00"
"Closed Lost","Customer Support","Northeast","Continental Resources, Inc. (CRI)","Cisco","Technology","2/15/2023","2/1/2023","Q1-2023","2023","209.0000000000","332.00"
"Closed Won","Customer Support","Northeast","TD Synnex","Cisco Webex Calling","Education","12/21/2022","12/1/2022","Q4-2022","2022","244.0000000000","39686.40"
"Closed Lost","Channel Inbound","West","NTT America, Inc.","Cisco; Cisco UCCX; Cisco UCCE","Government","12/23/2020","12/1/2020","Q4-2020","2020","120.0000000000","14182.00"
"Closed Lost","Website","Northeast","Presidio Networked Solutions Group, LLC","Cisco","Finance","12/17/2020","12/1/2020","Q4-2020","2020","114.0000000000","31786.35"
"Closed Won","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Government","12/6/2022","12/1/2022","Q4-2022","2022","215.0000000000","29774.30"
"Closed Won","Customer Support","North Central","ConvergeOne, Inc.","Cisco","Finance","10/26/2022","10/1/2022","Q4-2022","2022","7.0000000000","1530.85"
"Closed Lost","Channel Inbound","Midwest","ConvergeOne, Inc.","Cisco","Manufacturing","4/27/2021","4/1/2021","Q2-2021","2021","225.0000000000","48600.00"
"Closed Won","Customer Support","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Government","8/31/2022","8/1/2022","Q3-2022","2022","232.0000000000","2922.13"
"Closed Lost","Customer Support","Northeast","Insight Direct USA, Inc.","Cisco","Healthcare","1/25/2023","1/1/2023","Q1-2023","2023","51.0000000000","5760.00"
"Closed Lost","Customer Support","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Real Estate","5/18/2023","5/1/2023","Q2-2023","2023","83.0000000000","2275.00"
"Closed Won","Events/Shows","","","Cisco","Manufacturing","7/31/2018","7/1/2018","Q3-2018","2018","6.0000000000","8116.50"
"Closed Lost","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Education","2/9/2023","2/1/2023","Q1-2023","2023","322.0000000000","13338.00"
"Closed Won","Channel Inbound","West","Sentinel Technologies, Inc.","Cisco","Technology","9/27/2019","9/1/2019","Q3-2019","2019","283.0000000000","24960.00"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Retail","1/27/2020","1/1/2020","Q1-2020","2020","278.0000000000","8722.75"
"Closed Lost","Events/Shows","","Presidio Networked Solutions Group, LLC","Cisco","","2/3/2021","2/1/2021","Q1-2021","2021","498.0000000000","37839.00"
"Closed Won","Events/Shows","Northeast","","Cisco; Avaya","Healthcare","9/27/2019","9/1/2019","Q3-2019","2019","98.0000000000","76074.20"
"Closed Won","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Government","5/6/2022","5/1/2022","Q2-2022","2022","183.0000000000","39960.00"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Healthcare","3/6/2023","3/1/2023","Q1-2023","2023","242.0000000000","31984.00"
"Closed Lost","Channel Inbound","North Central","ConvergeOne, Inc.","Cisco; Cisco UCCX","Finance","8/24/2022","8/1/2022","Q3-2022","2022","254.0000000000","7260.00"
"Closed Lost","Channel Inbound","Midwest","","Cisco; Cisco UCCX","Healthcare","8/5/2021","8/1/2021","Q3-2021","2021","349.0000000000","51156.00"
"Closed Lost","Channel Inbound","","Solutions4networks, Inc.","Cisco","","10/22/2019","10/1/2019","Q4-2019","2019","19.0000000000","4218.00"
