"Lead Source","Stage","Fiscal Period","Amount","Age","Close Date","Channel Partner"
"Traditional/Offline Networking","Closed Lost","Q1-2019","12996.00","74.0000000000","2/24/2019","Technology Group Solutions, LLC"
"Customer Support","Closed Won","Q1-2019","6393.00","32.0000000000","2/12/2019","Derive Technologies, LLC"
"Direct Sales","Closed Lost","Q2-2020","38310.00","300.0000000000","4/13/2020","Servion Global Solutions Inc."
"Website","Closed Lost","Q4-2019","8314.25","37.0000000000","10/3/2019","Nex4 Company Ltd."
"Channel Inbound","Closed Lost","Q2-2020","1314.00","268.0000000000","6/10/2020","Nex4 Company Ltd."
"Channel Inbound","Closed Lost","Q3-2020","20660.00","199.0000000000","7/24/2020","Flagler Technologies"
"Channel Inbound","Closed Lost","Q1-2022","14829.15","676.0000000000","3/25/2022","Pedestal Technology"
"Website","Closed Lost","Q3-2020","8873.75","73.0000000000","8/24/2020","Xceptional Networks"
"Customer Support","Closed Lost","Q3-2022","19800.00","647.0000000000","8/18/2022","Integration Partners Corporation"
"Customer Support","Closed Lost","Q2-2022","13680.00","144.0000000000","6/24/2022","Advent Communications, Inc."
"Website","Closed Lost","Q1-2022","23040.00","128.0000000000","3/9/2022","LaSalle Solutions"
"Customer Support","Closed Won","Q4-2022","16416.00","384.0000000000","12/20/2022","K Systems Solutions LLC"
"Channel Inbound","Closed Lost","Q2-2023","4950.00","122.0000000000","4/3/2023","IT PRO CANADA"
"Customer Support","Closed Won","Q3-2022","6720.00","149.0000000000","9/22/2022","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q2-2021","106664.00","535.0000000000","4/22/2021","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q4-2020","59185.80","331.0000000000","12/17/2020","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q3-2020","6478.00","255.0000000000","7/2/2020","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q3-2020","5895.00","63.0000000000","9/23/2020","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q2-2020","14040.00","54.0000000000","5/5/2020","CDW Logistics, Inc."
"Customer Support","Closed Lost","Q1-2023","1492.02","357.0000000000","1/18/2023","CDW Logistics, Inc."
"Website","Closed Lost","Q3-2020","5766.00","134.0000000000","8/6/2020","CDW Logistics, Inc."
"","Closed Lost","Q2-2019","16005.00","88.0000000000","5/7/2019","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q2-2020","15288.00","197.0000000000","6/9/2020","CDW Logistics, Inc."
"Channel Inbound","Closed Won","Q1-2020","2770.50","354.0000000000","2/11/2020","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q4-2019","7660.00","155.0000000000","10/1/2019","CDW Logistics, Inc."
"Customer Support","Closed Lost","Q3-2019","113800.00","120.0000000000","7/9/2019","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q4-2020","216000.00","44.0000000000","12/18/2020","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q2-2020","11485.00","161.0000000000","5/5/2020","CDW Logistics, Inc."
"Website","Closed Lost","Q2-2022","6735.00","99.0000000000","4/14/2022","CDW Logistics, Inc."
"Website","Closed Lost","Q4-2021","13593.60","64.0000000000","12/8/2021","CDW Logistics, Inc."
"Channel Inbound","Closed Lost","Q3-2022","3795.00","450.0000000000","9/2/2022","CDW Logistics, Inc."
